"averageCostBasis","id","signal","signalledTokens","unsignalledTokens","pricePerShare","subgraphID","shareValue","TotalProfitLoss","address","date_utc","date_time_utc"
373,"0x4d83fc0f2c4436aa34266d0e389b1f48e4b867e2-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",1.18066918808032,373,0,309.205138422608,2.47399347963884e+75,365.068979731682,-7.93102026831775,"0x4d83fc0f2c4436aa34266d0e389b1f48e4b867e2",2021-07-21,"2021-07-21 02:00:05"
200,"0x4d83fc0f2c4436aa34266d0e389b1f48e4b867e2-0x9bde7bf4d5b13ef94373ced7c8ee0be59735a298-2",0.525742448501989,200,0,371.429785969466,1.05842101727662e+77,195.276405122157,-4.72359487784311,"0x4d83fc0f2c4436aa34266d0e389b1f48e4b867e2",2021-07-21,"2021-07-21 02:00:05"
60,"0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0-0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0-0",0.426237927554316,60,0,139.781973086661,6.23688458898751e+76,59.5803785179116,-0.419621482088395,"0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0",2021-07-21,"2021-07-21 02:00:06"
2000,"0xd0aee284d4b8ee835c3c4a9e78dc72d360ed453a-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",5.74163803200397,2000,0,309.205138422608,2.47399347963884e+75,1775.3439824583,-224.656017541703,"0xd0aee284d4b8ee835c3c4a9e78dc72d360ed453a",2021-07-21,"2021-07-21 02:00:06"
2087.45961129898,"0xcaa3a3c852442f06806170d137248bb21ddb0e1b-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",7.00583274158896,2087.45961129898,0,309.205138422608,2.47399347963884e+75,2166.23948262865,78.7798713296738,"0xcaa3a3c852442f06806170d137248bb21ddb0e1b",2021-07-21,"2021-07-21 02:00:06"
1000,"0xdfe7cac7dfcadf23eeb7749d0abae4b2e5e211ba-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",3.48184998206121,1000,0,309.205138422608,2.47399347963884e+75,1076.60590566999,76.6059056699921,"0xdfe7cac7dfcadf23eeb7749d0abae4b2e5e211ba",2021-07-21,"2021-07-21 02:00:06"
500,"0x021c1a1ce318e7b4545f6280b248062592b71706-0x021c1a1ce318e7b4545f6280b248062592b71706-0",2.51226115307116,500,0,93.4315131624206,6.27473676998354e+76,234.724360990606,-265.275639009394,"0x021c1a1ce318e7b4545f6280b248062592b71706",2021-07-21,"2021-07-21 02:00:06"
5990.42517624644,"0x8f7cae3e51bd832ee0e2cdb73de4723010acff5c-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",12.1496642901346,5990.42517624644,0,610.01174468971,3.63483103230927e+76,7411.43791101928,1421.01273477284,"0x8f7cae3e51bd832ee0e2cdb73de4723010acff5c",2021-07-21,"2021-07-21 02:00:07"
5400,"0x306e558167a3397889a2beb6ce918c6b8be5b3dc-0x147676a5e327080386bcc227e103a73dd2979049-0",18.8991232305569,5400,0,305.265871159523,1.08462533234369e+77,5769.25731712715,369.257317127153,"0x306e558167a3397889a2beb6ce918c6b8be5b3dc",2021-07-21,"2021-07-21 02:00:07"
50000,"0x5caba9c5aa0031f8ad79670365402a6823bacbe9-0x197939c1ca20c2b506d6811d8b6cdb3394471074-0",100.645813093712,50000,0,704.482562908858,3.22281494462342e+76,70903.2203543042,20903.2203543042,"0x5caba9c5aa0031f8ad79670365402a6823bacbe9",2021-07-21,"2021-07-21 02:00:07"
30000,"0x5caba9c5aa0031f8ad79670365402a6823bacbe9-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",52.6704242193849,30000,0,610.01174468971,3.63483103230927e+76,32129.5773716141,2129.57737161411,"0x5caba9c5aa0031f8ad79670365402a6823bacbe9",2021-07-21,"2021-07-21 02:00:07"
685,"0x088892a5e65b03a37e7864f7c17e54f6a0f5a1ee-0x9bde7bf4d5b13ef94373ced7c8ee0be59735a298-2",1.78005897968694,685,0,371.429785969466,1.05842101727662e+77,661.166925838147,-23.8330741618527,"0x088892a5e65b03a37e7864f7c17e54f6a0f5a1ee",2021-07-21,"2021-07-21 02:00:07"
39500,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5-0x197939c1ca20c2b506d6811d8b6cdb3394471074-0",59.732443364606,39500,0,704.482562908858,3.22281494462342e+76,42080.4647903059,2580.46479030587,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5",2021-07-21,"2021-07-21 02:00:07"
50000,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5-0x2382ab6c2099474cf424560a370ed1b1fdb65253-0",59.3336775776635,50000,0,886.568411997632,6.13377796246573e+76,52603.3643080086,2603.36430800863,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5",2021-07-21,"2021-07-21 02:00:07"
30000,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5-0x8d26c9dac7e16738752fa1446b956a97c63e2f39-0",74.9934448802293,30000,0,470.520561360068,7.75038522607692e+76,35285.9577833708,5285.95778337081,"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5",2021-07-21,"2021-07-21 02:00:07"
4000,"0x534a9ac3d3401f80800375680bded6a84137d296-0x021c1a1ce318e7b4545f6280b248062592b71706-0",17.8815355797937,4000,0,93.4315131624206,6.27473676998354e+76,1670.69892688779,-2329.30107311221,"0x534a9ac3d3401f80800375680bded6a84137d296",2021-07-21,"2021-07-21 02:00:08"
3600,"0x534a9ac3d3401f80800375680bded6a84137d296-0x97230febf3e6595462d93600404a77223d5dc723-0",51.5195861995398,3600,0,119.649015391876,1.12501741077966e+77,6164.26776217181,2564.26776217181,"0x534a9ac3d3401f80800375680bded6a84137d296",2021-07-21,"2021-07-21 02:00:08"
0,"0x534a9ac3d3401f80800375680bded6a84137d296-0xa2e0225b258fd766a976b9c7abcac07e847932a7-0",0,3700,3607.5,0,2.52793055103256e+75,0,-92.5,"0x534a9ac3d3401f80800375680bded6a84137d296",2021-07-21,"2021-07-21 02:00:08"
685,"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0-0x2382ab6c2099474cf424560a370ed1b1fdb65253-0",0.902216981540736,685,0,886.568411997632,6.13377796246573e+76,799.877076601867,114.877076601867,"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0",2021-07-21,"2021-07-21 02:00:08"
100,"0xba74a8f28d08d9a1e92c0eb4424e3c7ed3f17e78-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",0.211552703092271,100,0,610.01174468971,3.63483103230927e+76,129.04963350714,29.0496335071401,"0xba74a8f28d08d9a1e92c0eb4424e3c7ed3f17e78",2021-07-21,"2021-07-21 02:00:08"
