"activeStakesCount","createdAt","defaultDisplayName","id","stakesCount","totalRealizedRewards","totalStakedTokens","totalUnstakedTokens","date_utc","date_time_utc"
0,1608512970,NA,"0xe3c7f3bdcd1ef083ef065e04327674838226824e",1,"3207605528030046914191.34028163044","99497934943346564939000","102705540471376611842232",2021-08-23,"2021-08-23 20:40:26"
0,1614704759,NA,"0xe3c572b9b9b2674cd0afff27c2fff8b86b2c5fa1",1,"326178959550195996578.2","4296410000000000000000","4622588959550196000502",2021-08-23,"2021-08-23 20:40:26"
0,1614294031,NA,"0xe3c0ec6c269f34fdafd45308a8300491652f8f1c",1,"4171358438919059612.157997144476","3432461227164356747119","3436632585603275805236",2021-08-23,"2021-08-23 20:40:26"
2,1608477347,NA,"0xe3bcee372ed493121e88b4a0e6a118e0868ebbaf",2,"0","33145022100000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1609889410,NA,"0xe3b8418775659a2a527781fd6bbd7970ed61a269",1,"0","36069031082952850000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608773392,NA,"0xe3b2dbe6709a6da7bbdeb9e612f1ef6532c777eb",1,"0","1081329185000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608351191,NA,"0xe3a38bb185eebca16ac86139b4b8200c293a2dad",1,"0","5679806919758074790000","5679806919758074000000",2021-08-23,"2021-08-23 20:40:26"
2,1608455047,NA,"0xe3a2cdfaad3be971c38009c23761bcc9ffaac3e5",2,"0","19904628978800000000","0",2021-08-23,"2021-08-23 20:40:26"
3,1612166258,NA,"0xe3a18bc4961643ce40a0b1831f986763073275a4",3,"1356116695531860829676.07458078318","248750000000000000000000","33332000000000000014885",2021-08-23,"2021-08-23 20:40:26"
1,1610884726,NA,"0xe39d76148efbb1947e9c92ba16ecc2b4156af406",1,"19790050315274139692154.11373015043","9950000000000000000","19799999999999999948510",2021-08-23,"2021-08-23 20:40:26"
1,1611424798,NA,"0xe39c80a06a42545a35f8b7a1ba50ab8d215c6a78",1,"0","24875000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608304847,NA,"0xe39bc99b80a9efd0f14f82aea1406eee93d456f2",2,"26296066488708688448","895500000000000000000","822296066488708688974",2021-08-23,"2021-08-23 20:40:26"
1,1624580532,NA,"0xe385494c2fbbc30ed76733c0d3ae391d13f35c43",1,"0","2950961050000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1624574700,NA,"0xe36b95a1d28ad473f6fbb5d3e35381268a105a79",1,"0","292022550000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1623472783,NA,"0xe35cd08c0f35dda4c55e20b3b63cad78b0402f0f",1,"0","128713525933670020216357","0",2021-08-23,"2021-08-23 20:40:26"
0,1612564663,NA,"0xe3550357aa389bb6f78a7fdaae0df43e2a1080b7",2,"469709537862003681082.815877109763","9676140586428858448122","10145850124290862121817",2021-08-23,"2021-08-23 20:40:26"
3,1623237189,NA,"0xe345a60ad6e930a95dd4128ccf1e1296ecdbc151",3,"0","497287988872043396751","0",2021-08-23,"2021-08-23 20:40:26"
1,1624900401,NA,"0xe3403f00b5611a90c70529d01a2e1435985345cb",1,"0","2103430000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
8,1614749232,NA,"0xe33575a10a3a37057fbd9793c3f27b94e96b8ba8",8,"0","22532780183021762030078","0",2021-08-23,"2021-08-23 20:40:26"
0,1614151778,NA,"0xe32a89ce1d3b3cae16ceafff98eb7ddb9f6e9a2d",1,"34070827660205452796.29905","2181209150000000000000","2215279977660205453837",2021-08-23,"2021-08-23 20:40:26"
