"symbol","model","eval_set","rmse","rsq","last_refreshed"
"ADA","lm","holdout",1.02443443265337,0.932142285668127,"2021-02-24 14:52:53"
"ADA","lm","test",1.71307051599381,0.387283108445477,"2021-02-24 14:52:53"
"ADA","nnet","holdout",4.35832163187768,0.00113292912250367,"2021-02-24 14:52:53"
"ADA","nnet","test",2.06123732243667,0.191241167280264,"2021-02-24 14:52:53"
"ADA","pcr","holdout",2.80466604900825,0.0536095332427517,"2021-02-24 14:52:53"
"ADA","pcr","test",1.64521956236072,0.350286903462679,"2021-02-24 14:52:53"
"ADA","rf","holdout",3.95556667069397,0.40729162100681,"2021-02-24 14:52:53"
"ADA","rf","test",3.06492190307248,0.126525319813354,"2021-02-24 14:52:53"
"ADA","xgb","holdout",4.02186242167764,0.199308890845775,"2021-02-24 14:52:53"
"ADA","xgb","test",3.13396191276646,0.0723944325083713,"2021-02-24 14:52:53"
"ARDR","lm","holdout",3.47461096803443,0.448391357214898,"2021-02-24 14:52:53"
"ARDR","lm","test",1.09666461499607,0.769293931533378,"2021-02-24 14:52:53"
"ARDR","nnet","holdout",4.39439327385901,0.248819091570959,"2021-02-24 14:52:53"
"ARDR","nnet","test",1.89025036335507,0.120640184897792,"2021-02-24 14:52:53"
"ARDR","pcr","holdout",3.34306086539875,0.452835441879643,"2021-02-24 14:52:53"
"ARDR","pcr","test",1.75281508083541,0.216494344312369,"2021-02-24 14:52:53"
"ARDR","rf","holdout",7.04289890826408,0.0583281264173445,"2021-02-24 14:52:53"
"ARDR","rf","test",2.2506336075948,0.164745038829902,"2021-02-24 14:52:53"
"ARDR","xgb","holdout",4.47435850050469,0.0262530377999911,"2021-02-24 14:52:53"
"ARDR","xgb","test",2.89719478741169,0.0163319533327746,"2021-02-24 14:52:53"
"ASP","lm","holdout",2.43048358416872,0.635352542819095,"2021-02-24 14:52:53"
"ASP","lm","test",2.7082996403789,0.507787972604123,"2021-02-24 14:52:53"
"ASP","nnet","holdout",3.70144074582446,0.153933723390734,"2021-02-24 14:52:53"
"ASP","nnet","test",4.61639333434434,0.141340864674029,"2021-02-24 14:52:53"
"ASP","pcr","holdout",3.28145579022631,0.372632014101754,"2021-02-24 14:52:53"
"ASP","pcr","test",3.36303129207322,0.302226585861597,"2021-02-24 14:52:53"
"ASP","rf","holdout",4.05576591464011,0.113396159516136,"2021-02-24 14:52:53"
"ASP","rf","test",6.47782946960445,0.0117256945309441,"2021-02-24 14:52:53"
"ASP","xgb","holdout",4.27182259862912,0.0237196963483569,"2021-02-24 14:52:53"
"ASP","xgb","test",5.70351069410879,0.0529219861422791,"2021-02-24 14:52:53"
"AVA","lm","holdout",1.98479614186627,0.63257809821235,"2021-02-24 14:52:53"
"AVA","lm","test",0.884436596443862,0.652232947745105,"2021-02-24 14:52:53"
"AVA","nnet","holdout",4.76534677314007,0.00148632413661689,"2021-02-24 14:52:53"
"AVA","nnet","test",1.98843699074013,0.142318731384743,"2021-02-24 14:52:53"
"AVA","pcr","holdout",2.89386030032282,0.127973555099102,"2021-02-24 14:52:53"
"AVA","pcr","test",1.40388790929939,0.262566687015472,"2021-02-24 14:52:53"
"AVA","rf","holdout",3.50315236524026,0.0196709376229283,"2021-02-24 14:52:53"
"AVA","rf","test",2.52755931294533,0.0802994234156649,"2021-02-24 14:52:53"
"AVA","xgb","holdout",4.05441443975896,0.00687180546226314,"2021-02-24 14:52:53"
"AVA","xgb","test",2.70774247546022,0.026792235409826,"2021-02-24 14:52:53"
"BAT","lm","holdout",1.85405723738211,0.7873386602974,"2021-02-24 14:52:53"
"BAT","lm","test",1.33074028364597,0.349616208155718,"2021-02-24 14:52:53"
"BAT","nnet","holdout",3.15107005129449,0.172645180098811,"2021-02-24 14:52:53"
"BAT","nnet","test",1.51615012177581,0.0172885777296821,"2021-02-24 14:52:53"
"BAT","pcr","holdout",2.70888617706191,0.372531650466234,"2021-02-24 14:52:53"
"BAT","pcr","test",1.24161133044888,0.0873139616355277,"2021-02-24 14:52:53"
"BAT","rf","holdout",7.09114293148523,0.230202740714056,"2021-02-24 14:52:53"
"BAT","rf","test",2.62619611595778,0.0693369634400725,"2021-02-24 14:52:53"
"BAT","xgb","holdout",7.26007325719446,0.241533122724619,"2021-02-24 14:52:53"
"BAT","xgb","test",3.02498596445451,0.0145516899069901,"2021-02-24 14:52:53"
"BCHA","lm","holdout",2.93061237226832,0.452242977533575,"2021-02-24 14:52:53"
"BCHA","lm","test",1.71538855135359,0.382007864328997,"2021-02-24 14:52:53"
"BCHA","nnet","holdout",4.47437325827619,0.728378184388124,"2021-02-24 14:52:53"
"BCHA","nnet","test",2.73963282138729,0.11931955348087,"2021-02-24 14:52:53"
"BCHA","pcr","holdout",3.01713766242325,0.750689363377041,"2021-02-24 14:52:53"
"BCHA","pcr","test",1.87776679532541,0.226985533399769,"2021-02-24 14:52:53"
"BCHA","rf","holdout",3.04759337518407,0.324843161679782,"2021-02-24 14:52:53"
"BCHA","rf","test",2.42331468141941,0.0578482474107012,"2021-02-24 14:52:53"
"BCHA","xgb","holdout",5.04651625961723,0.0000030180623703537,"2021-02-24 14:52:53"
"BCHA","xgb","test",2.55808239981638,0.0858516884788324,"2021-02-24 14:52:53"
"BNT","lm","holdout",3.00467393916589,0.779165807743857,"2021-02-24 14:52:53"
"BNT","lm","test",1.12617142078915,0.66041208915086,"2021-02-24 14:52:53"
"BNT","nnet","holdout",7.72941713768432,0.0106559355019155,"2021-02-24 14:52:53"
"BNT","nnet","test",1.88679794798202,0.125674074700806,"2021-02-24 14:52:53"
"BNT","pcr","holdout",2.77234787551431,0.118830058597496,"2021-02-24 14:52:53"
"BNT","pcr","test",1.42148527231164,0.28097125038962,"2021-02-24 14:52:53"
"BNT","rf","holdout",2.92913462967982,0.00421772692893748,"2021-02-24 14:52:53"
"BNT","rf","test",3.86815904164369,0.0920819586678202,"2021-02-24 14:52:53"
"BNT","xgb","holdout",3.36395493435352,0.0020790487177117,"2021-02-24 14:52:53"
"BNT","xgb","test",4.94324465783432,0.0868926889690661,"2021-02-24 14:52:53"
"BRD","lm","holdout",2.56494063595385,0.376445275614873,"2021-02-24 14:52:53"
"BRD","lm","test",5.83826055753585,0.206099394365203,"2021-02-24 14:52:53"
"BRD","nnet","holdout",4.02452862699008,0.0292242665321505,"2021-02-24 14:52:53"
"BRD","nnet","test",6.51196158502823,0.0154843373572225,"2021-02-24 14:52:53"
