"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"12421181",NA,"estate","1620844568","0x959e104e1a4db6317fa58f8295f586e1a978c297","39900000000000000000000","open","0x0dec5d31230deb056007e8bbbb9ee535688958bbc8a563e1ca56b32b4dbbb57e",39900,"https://api.decentraland.org/v1/estates/2692/map.png","0x0fc5b631fc452073dc5646f1a5cef6c7c4360511","0",NA,NA,4,"2021-05-12 23:50:05",2021-05-12
"12420831",NA,"estate","1620839492","0x959e104e1a4db6317fa58f8295f586e1a978c297","389999000000000000000000","open","0x2315bd375dc4a6031ba0e18dd33bca8b355c2e249ad7d76121977d2cd1f58f09",389999,"https://api.decentraland.org/v1/estates/3316/map.png","0x07356b0edf9b934330f41952b09d076c3810c608","0",NA,NA,53,"2021-05-12 23:50:05",2021-05-12
"12420582",NA,"estate","1620836163","0x959e104e1a4db6317fa58f8295f586e1a978c297","28000000000000000000000","open","0x7f3c9139965dedd252540bde6ff19b24ee3a15c65514b4d24d227f0cda6a0f01",28000,"https://api.decentraland.org/v1/estates/4083/map.png","0xac33a5837bb9ad556d1ed646642e371775fb357a","0",NA,NA,2,"2021-05-12 23:50:05",2021-05-12
"12419602",NA,"parcel","1620822310","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","10000000000000000000000","open","0x7ce8b1d2d904c5ac484e17b2c2c7403073ed6488a01df29d6e5e0f74ade4d2d0",10000,"https://api.decentraland.org/v1/parcels/44/101/map.png","0x1cd52740701389eecaefb4f96c12ad9fca4a4ba0","0","44","101",NA,"2021-05-12 23:50:05",2021-05-12
"12419126",NA,"ens","1620816018","0x2a187453064356c898cae034eaed119e1663acb8","1950000000000000000000","open","0x6769fde894fbac35e645dc66cb6b47d38692ae4e0594b9beaf109a7ffa6b15ec",1950,NA,"0xbaf62772be1dd09f4c5db0d557f1c72d04081750","0",NA,NA,NA,"2021-05-12 23:50:05",2021-05-12
"12418289",NA,"parcel","1620804850","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4599000000000000000000","open","0x0ac9e2198a2cbbcd974d7af5a860600e7542881acc8097f6d4c80492877b0cf8",4599,"https://api.decentraland.org/v1/parcels/13/-37/map.png","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","0","13","-37",NA,"2021-05-12 23:50:05",2021-05-12
"12418233",NA,"parcel","1620804165","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4099000000000000000000","open","0x991790ae3c7ed8f05fea4645d88cf5c0c1961357f583b8d021158b58f6d7e20d",4099,"https://api.decentraland.org/v1/parcels/56/-132/map.png","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","0","56","-132",NA,"2021-05-12 23:50:05",2021-05-12
"12418129",NA,"parcel","1620802692","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5700000000000000000000","open","0x72b8204e01d4217e0da3f04973135a435258a29d8d7eee622938414312916a0b",5700,"https://api.decentraland.org/v1/parcels/-132/-54/map.png","0x3642b781ba1fa950d905257c93dda1b719b67959","0","-132","-54",NA,"2021-05-12 23:50:05",2021-05-12
"12417958",NA,"estate","1620800450","0x959e104e1a4db6317fa58f8295f586e1a978c297","24999000000000000000000","open","0x29dd4e984895a0b3d0f6ad6a67aa496eb650cd1b90cee7d6b5db9a1460867476",24999,"https://api.decentraland.org/v1/estates/4059/map.png","0xdfe279c336e767beb9fb1c19c1695e2000a2c720","0",NA,NA,2,"2021-05-12 23:50:05",2021-05-12
"12417945",NA,"parcel","1620800255","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","6888000000000000000000","open","0x7086f2df0a9e9a929f1eebaa47a6f39083aa68236db56f56fe9e8f71f306d3f1",6888,"https://api.decentraland.org/v1/parcels/-76/-48/map.png","0x9b7d60d1d368e78e1d9dd4a5a6fb0bbfcbe8570d","0","-76","-48",NA,"2021-05-12 23:50:05",2021-05-12
"12417945",NA,"parcel","1620800255","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5000000000000000000000","open","0x35f4ebb21152c137ab5732b02c773fd8c692545b05f3ca56237fff7b071475ae",5000,"https://api.decentraland.org/v1/parcels/53/-79/map.png","0x9b7d60d1d368e78e1d9dd4a5a6fb0bbfcbe8570d","0","53","-79",NA,"2021-05-12 23:50:05",2021-05-12
"12417934",NA,"parcel","1620800124","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5000000000000000000000","open","0x6df57382d36c9a69cc9abd1c24725010aae0abbe3b37ee773823696357211f66",5000,"https://api.decentraland.org/v1/parcels/20/-37/map.png","0x9b7d60d1d368e78e1d9dd4a5a6fb0bbfcbe8570d","0","20","-37",NA,"2021-05-12 23:50:05",2021-05-12
